
code,longitude,bathrooms,garage,price_by_sqm,condominio,rent,agent_number,area,agent,district,rooms,iptu,url,suites,latitude,price,title,condominium_fee,address,area_total
,-34.901916,,,,,,,820,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-820m2-venda-RS7500000-id-88107334/,,-8.136664,7500000,"Apartamento na Avenida Boa Viagem, 5450, Boa Viagem em Recife, por R$ 7.500.000 - VivaReal",,"Avenida Boa Viagem, 5450 - Boa Viagem, Recife - PE",
,-34.906149,,,,,,,96,,,,R$ 1.200,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-96m2-venda-RS420000-id-85503978/,,-8.123695,420000,"Apartamento na Rua Agenor Lopes, 314, Boa Viagem em Recife, por R$ 420.000 - VivaReal",R$ 600,"Rua Agenor Lopes, 314 - Boa Viagem, Recife - PE",
,-34.883675,,,,,,,80,,,,R$ 1.300,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-80m2-venda-RS550000-id-85892192/,,-8.093951,550000,"Apartamento na Rua Ondina, Boa Viagem em Recife, por R$ 550.000 - VivaReal",R$ 650,"Rua Ondina - Boa Viagem, Recife - PE",
,-34.90056,,,,,,,235,,,,R$ 7.000,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-235m2-venda-RS2890000-id-84629790/,,-8.133156,2890000,"Apartamento na Avenida Boa Viagem, 5030, Boa Viagem em Recife, por R$ 2.890.000 - VivaReal",R$ 1.600,"Avenida Boa Viagem, 5030 - Boa Viagem, Recife - PE",
,-34.900085,,,,,,,130,,,,R$ 1.300,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS400000-id-85072899/,,-8.124151,400000,"Apartamento na Rua Pedro Bérgamo, 273, Boa Viagem em Recife, por R$ 400.000 - VivaReal",R$ 700,"Rua Pedro Bérgamo, 273 - Boa Viagem, Recife - PE",
,-34.892852,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/via-jardins-6683/,,-8.107477,,"Lançamento Moura Dubeux Via Jardins - Apartamento - Boa Viagem, Recife - VivaReal",,,
,-34.908197,,,,,,,80,,,,R$ 222,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-80m2-venda-RS400000-id-86286016/,,-8.126179,400000,"Apartamento na Rua Amália Bernardino de Souza, 444, Boa Viagem em Recife, por R$ 400.000 - VivaReal",R$ 600,"Rua Amália Bernardino de Souza, 444 - Boa Viagem, Recife - PE",
,-34.903758,,,,,,,130,,,,R$ 99,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS380000-id-86660998/,,-8.130623,380000,"Apartamento na Rua Charles Darwin, 200, Boa Viagem em Recife, por R$ 380.000 - VivaReal",R$ 770,"Rua Charles Darwin, 200 - Boa Viagem, Recife - PE",
,-34.894344,,,,,,,50,,,,R$ 800,https://www.vivareal.com.br/imovel/flat-1-quartos-boa-viagem-bairros-recife-com-garagem-50m2-venda-RS298000-id-81627556/,,-8.117759,298000,"Flat na Rua dos Navegantes, 1706, Boa Viagem em Recife, por R$ 298.000 - VivaReal",,"Rua dos Navegantes, 1706 - Boa Viagem, Recife - PE",
,-34.896076,,,,,,,210,,,,R$ 6.000,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-210m2-venda-RS2180000-id-82249040/,,-8.122141,2180000,"Apartamento na Avenida Boa Viagem, Boa Viagem em Recife, por R$ 2.180.000 - VivaReal",R$ 1.800,"Avenida Boa Viagem - Boa Viagem, Recife - PE",
,-34.899258,,,,,,,170,,,,R$ 4.000,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-170m2-venda-RS950000-id-86862640/,,-8.130596,950000,"Apartamento na Avenida Boa Viagem, 4704, Boa Viagem em Recife, por R$ 950.000 - VivaReal",R$ 670,"Avenida Boa Viagem, 4704 - Boa Viagem, Recife - PE",
,-34.897323,,,,,,,120,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-120m2-venda-RS830000-id-82693661/,,-8.114823,830000,"Apartamento na Rua Antônio Falcão, Boa Viagem em Recife, por R$ 830.000 - VivaReal",,"Rua Antônio Falcão - Boa Viagem, Recife - PE",
,-34.9001065,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/beach-class-boa-viagem-6689/,,-8.115564,,"Lançamento Moura Dubeux Beach Class Boa Viagem - Apartamento - Boa Viagem, Recife - VivaReal",,,
,-34.907498,,,,,,,75,,,,R$ 97,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-75m2-venda-RS250000-id-87883071/,,-8.12757,250000,"Apartamento na Rua Jonatas de Vasconcelos, 750, Boa Viagem em Recife, por R$ 250.000 - VivaReal",R$ 537,"Rua Jonatas de Vasconcelos, 750 - Boa Viagem, Recife - PE",
,-34.8976,,,,,,,130,,,,R$ 280,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS780000-id-72424819/,,-8.10876,780000,"Apartamento na Rua Amaro Albino Pímentel, 112, Boa Viagem em Recife, por R$ 780.000 - VivaReal",R$ 800,"Rua Amaro Albino Pímentel, 112 - Boa Viagem, Recife - PE",
,-34.894512,,,,,,,308,,,,,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-308m2-venda-RS2700000-id-85697053/,,-8.119038,2700000,"Apartamento na Avenida Boa Viagem, 3356, Boa Viagem em Recife, por R$ 2.700.000 - VivaReal",,"Avenida Boa Viagem, 3356 - Boa Viagem, Recife - PE",
,-34.905238,,,,,,,52,,,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-52m2-venda-RS285000-id-83686501/,,-8.122963,285000,"Apartamento na Rua Ribeiro de Brito, 1000, Boa Viagem em Recife, por R$ 285.000 - VivaReal",R$ 350,"Rua Ribeiro de Brito, 1000 - Boa Viagem, Recife - PE",
,-34.898536,,,,,,,91,,,,R$ 1.500,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-91m2-venda-RS647000-id-84781690/,,-8.121509,647000,"Apartamento na Rua Bruno Veloso, 284, Boa Viagem em Recife, por R$ 647.000 - VivaReal",R$ 850,"Rua Bruno Veloso, 284 - Boa Viagem, Recife - PE",
,-34.898536,,,,,,,91,,,,R$ 1.500,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-91m2-venda-RS640000-id-84781700/,,-8.121509,640000,"Apartamento na Rua Bruno Veloso, 284, Boa Viagem em Recife, por R$ 640.000 - VivaReal",R$ 850,"Rua Bruno Veloso, 284 - Boa Viagem, Recife - PE",
,-34.900108,,,,,,,119,,,,R$ 1.100,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-119m2-venda-RS470000-id-87171748/,,-8.114607,470000,"Apartamento na Rua Mamanguape, 687, Boa Viagem em Recife, por R$ 470.000 - VivaReal",R$ 1.100,"Rua Mamanguape, 687 - Boa Viagem, Recife - PE",
,-34.90278,,,,,,,81,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-81m2-venda-RS665000-id-85071616/,,-8.112062,665000,"Apartamento na Rua Antônio Falcão, 979, Boa Viagem em Recife, por R$ 665.000 - VivaReal",,"Rua Antônio Falcão, 979 - Boa Viagem, Recife - PE",
,-34.887904,,,,,,,28,,,,,https://www.vivareal.com.br/imovel/kitnet-1-quartos-boa-viagem-bairros-recife-28m2-venda-RS150000-id-85825401/,,-8.104371,150000,"Kitnet na Rua Artur Muniz, 82, Boa Viagem em Recife, por R$ 150.000 - VivaReal",,"Rua Artur Muniz, 82 - Boa Viagem, Recife - PE",
,-34.90997,,,,,,,59,,,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-59m2-venda-RS300000-id-86170792/,,-8.130779,300000,"Apartamento na Rua Sansão Ribeiro, 99, Boa Viagem em Recife, por R$ 300.000 - VivaReal",R$ 440,"Rua Sansão Ribeiro, 99 - Boa Viagem, Recife - PE",
,-34.900557,,,,,,,235,,,,R$ 7.800,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-235m2-venda-RS3100000-id-83867144/,,-8.133156,3100000,"Apartamento na Avenida Boa Viagem, 5030, Boa Viagem em Recife, por R$ 3.100.000 - VivaReal",R$ 1.400,"Avenida Boa Viagem, 5030 - Boa Viagem, Recife - PE",
,-34.886493,,,,,,,127,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-127m2-venda-RS1150000-id-82490807/,,-8.102038,1150000,"Apartamento na Rua Domício Rangel, 70, Boa Viagem em Recife, por R$ 1.150.000 - VivaReal",,"Rua Domício Rangel, 70 - Boa Viagem, Recife - PE",
,-34.899393,,,,,,,94,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-94m2-venda-RS480000-id-86428737/,,-8.114903,480000,"Apartamento na Rua Mamanguape, 623, Boa Viagem em Recife, por R$ 480.000 - VivaReal",,"Rua Mamanguape, 623 - Boa Viagem, Recife - PE",
